Collar,latitude,longitude,Altitude,Temp,AnimalTitle,GMT_Stamp,timestamp,pre_lon,pre_lat,pre_time,step,delta,speed_ms,bearing,turn_angle,behavior
151325.0,41.9489767,-88.3569547,207.15,29,Coyote - Thornwood 151325 (M),1680470000000.0,2023-04-02 20:01:10,-88.3727156,41.9113197,2023-04-02 08:00:35,4382.155810264406,43235.0,0.10135667422838918,17.290060823487426,179.69971959234368,Traveling
151325.0,41.9499272,-88.3561786,192.9,5,Coyote - Thornwood 151325 (M),1680440000000.0,2023-04-02 12:00:35,-88.3569547,41.9489767,2023-04-02 20:01:10,123.64065467677749,-28835.0,-0.004287867337498786,31.268904440625228,13.978843617137802,Foraging
151324.0,41.9482061,-88.01848,203.66,11,Coyote - East Branch 151324,1712070000000.0,2024-04-02 16:00:34,-88.3561786,41.9499272,2023-04-02 12:00:35,,31636799.0,0.0008850933702860191,90.27974758226802,59.01084314164279,nan
151324.0,41.9477694,-88.0186703,190.29,9,Coyote - East Branch 151324,1712060000000.0,2024-04-02 12:00:35,-88.01848,41.9482061,2024-04-02 16:00:34,51.00733061357912,-14399.0,-0.003542421738563728,197.95775411165937,107.67800652939135,Resting
301434000000000.0,40.550403,-89.405653,199.0,24,Coyote - Morton MA06 ,1743570000000.0,2025-04-02 04:00:00,-88.0186703,41.9477694,2024-04-02 12:00:35,,31507165.0,0.0061540776448262115,217.19194371256435,19.234189600904983,nan
301434000000000.0,40.53035,-89.398103,205.0,32,Coyote - Morton MA06 ,1743610000000.0,2025-04-02 16:00:00,-89.405653,40.550403,2025-04-02 04:00:00,2316.8255657919253,43200.0,0.05363022143036864,164.03054545151141,53.16139826105294,Traveling
301434000000000.0,40.528539,-89.399111,195.0,29,Coyote - Morton MA06 ,1743620000000.0,2025-04-02 20:00:00,-89.398103,40.53035,2025-04-02 16:00:00,218.48730686652385,14400.0,0.015172729643508602,202.93136479028337,38.90081933877195,Foraging
301434000000000.0,40.174694,-88.083044,213.0,29,Coyote - Champaign MA05 ,1743600000000.0,2025-04-02 12:00:00,-89.399111,40.528539,2025-04-02 20:00:00,,-28800.0,-4.114828945348418,109.00606770057882,93.92529708970454,nan
38058.0,41.8254844,-88.2584175,188.66,19,Coyote - Fermi 38058,1459700000000.0,2016-04-03 17:00:29,-88.083044,40.174694,2025-04-02 12:00:00,,-283892371.0,-0.0006478491630169253,355.47335851104066,113.53270918953817,nan
38056.0,41.8543811,-88.1551317,197.29,0,Coyote - Cantigny 38056 (F),1459660000000.0,2016-04-03 06:01:30,-88.2584175,41.8254844,2016-04-03 17:00:29,9159.459406158812,-39539.0,-0.23165632429142902,69.38288681173863,73.90952830069796,Traveling
