collar_id,latitude,longitude,Altitude,Temp,AnimalTitle,GMT_Stamp,timestamp,c_id,pre_lon,pre_lat,pre_time,step,delta,speed_ms,bearing,turn_angle,behavior
151328.0,39.5568833,-88.6148247,166.89,11,Coyote - Sullivan Shoreline 151328,1680360000000.0,2023-04-01 15:00:14,unknown,-88.6149592,39.5570992,2023-04-01 13:30:34,26.612130198417063,5380.0,0.004946492601936257,154.34464065805744,143.144324610998,Resting
151323.0,39.8910683,-89.4485225,162.45,9,Coyote - New City-Buffalo 151323,1680320000000.0,2023-04-01 04:00:33,unknown,-88.6148247,39.5568833,2023-04-01 15:00:14,,-39581.0,-2.0346788689990007,297.79302063645804,143.4483799784006,nan
151322.0,39.7629547,-91.0357208,185.16,4,Coyote - County Line 151322,1680360000000.0,2023-04-01 16:00:35,unknown,-89.4485225,39.8910683,2023-04-01 04:00:33,,43202.0,3.1623317823639434,264.5087758417172,33.28424479474086,nan
151323.0,39.9329936,-89.4557786,158.24,8,Coyote - New City-Buffalo 151323,1680360000000.0,2023-04-01 16:01:07,unknown,-91.0357208,39.7629547,2023-04-01 16:00:35,,32.0,,81.51453153622613,177.00575569450893,nan
151329.0,37.6142133,-89.1112772,186.44,29,Coyote - Devil's Kitchen 151329,1680370000000.0,2023-04-01 16:30:35,unknown,-89.4557786,39.9329936,2023-04-01 16:01:07,,1768.0,,173.28455904986723,91.7700275136411,nan
151329.0,37.6145256,-89.1125419,185.7,17,Coyote - Devil's Kitchen 151329,1680370000000.0,2023-04-01 18:00:59,unknown,-89.1112772,37.6142133,2023-04-01 16:30:35,116.91705909806454,5424.0,0.021555504995955852,287.31442603432066,114.02986698445343,Foraging
151328.0,39.5654903,-88.6184375,172.03,7,Coyote - Sullivan Shoreline 151328,1680380000000.0,2023-04-01 19:30:16,unknown,-89.1125419,37.6145256,2023-04-01 18:00:59,,5357.0,,11.04379139439185,83.7293653600712,nan
151329.0,37.6144239,-89.1125742,164.31,24,Coyote - Devil's Kitchen 151329,1680380000000.0,2023-04-01 19:30:43,unknown,-88.6184375,39.5654903,2023-04-01 19:30:16,,27.0,,191.35219377627342,179.69159761811844,nan
151321.0,39.7903958,-90.7113772,-0.29,21,Coyote - Griggsville 151321,1680380000000.0,2023-04-01 20:00:59,unknown,-89.1125742,37.6144239,2023-04-01 19:30:43,,1816.0,,330.66670535564896,139.31451157937553,nan
151326.0,41.9425417,-88.3676347,0.16,13,Coyote - Thornwood 151326 (F),1680380000000.0,2023-04-01 20:01:10,unknown,-90.7113772,39.7903958,2023-04-01 20:00:59,,11.0,,38.71216612971541,68.04546077406644,nan
151328.0,39.5655058,-88.6184681,152.63,8,Coyote - Sullivan Shoreline 151328,1680380000000.0,2023-04-01 21:01:00,unknown,-88.3676347,41.9425417,2023-04-01 20:01:10,,3590.0,,184.65251124904827,145.94034511933285,nan
151328.0,39.5654636,-88.6184594,163.04,18,Coyote - Sullivan Shoreline 151328,1680390000000.0,2023-04-01 22:30:33,unknown,-88.6184681,39.5655058,2023-04-01 21:01:00,4.7445814372375485,5373.0,0.0008830413990764096,170.969561180563,13.682950068485269,Resting
151322.0,39.7609656,-91.0351903,178.56,16,Coyote - County Line 151322,1680350000000.0,2023-04-01 12:01:05,unknown,-88.6184594,39.5654636,2023-04-01 22:30:33,,-37768.0,-5.5208269308396005,276.7693459951231,105.7997848145601,nan
151324.0,41.9331931,-88.0344278,219.23,28,Coyote - East Branch 151324,1711990000000.0,2024-04-01 16:00:34,unknown,-91.0351903,39.7609656,2023-04-01 12:01:05,,31636769.0,0.011049306580813859,45.28687953344457,128.51753353832146,nan
151324.0,41.9332878,-88.0343806,192.55,8,Coyote - East Branch 151324,1711970000000.0,2024-04-01 12:01:00,unknown,-88.0344278,41.9331931,2024-04-01 16:00:34,11.223351387353597,-14374.0,-0.0007808091962817307,20.343941039857242,24.942938493587327,Resting
301434000000000.0,40.194867,-88.068347,203.0,11,Coyote - Champaign MA05 ,1743480000000.0,2025-04-01 04:00:00,unknown,-88.0343806,41.9332878,2024-04-01 12:01:00,,31507140.0,0.00612818878819844,180.8551910694899,160.51125002963266,nan
301434000000000.0,40.192178,-88.064525,221.0,28,Coyote - Champaign MA05 ,1743520000000.0,2025-04-01 16:00:00,unknown,-88.068347,40.194867,2025-04-01 04:00:00,441.66770393925015,43200.0,0.010223789443038199,132.64525872402302,48.20993234546688,Foraging
301434000000000.0,40.564825,-89.409456,214.0,15,Coyote - Morton MA06 ,1743540000000.0,2025-04-01 20:00:00,unknown,-88.064525,40.192178,2025-04-01 16:00:00,,14400.0,8.435796643750574,290.4221235511044,157.77686482708137,nan
301434000000000.0,40.566097,-89.411689,223.0,24,Coyote - Morton MA06 ,1743510000000.0,2025-04-01 12:00:00,unknown,-89.409456,40.564825,2025-04-01 20:00:00,236.0322338203216,-28800.0,-0.008195563674316722,306.8652970833723,16.443173532267906,Foraging
38058.0,41.8251203,-88.2586814,191.86,7,Coyote - Fermi 38058,1459620000000.0,2016-04-02 17:00:29,unknown,-89.411689,40.566097,2025-04-01 12:00:00,,-283892371.0,-0.0005988642144482072,34.19260026984396,87.32730318647168,nan
