Collar,Latitude,Longitude,Altitude,Temp,AnimalTitle,GMT_Stamp,GMT_Formatted
38056,41.8502317,-88.1617708,205.25,23,Coyote - Cantigny 38056 (F),1.43184E+12,May 17 2015 05:03:12 AM
38056,41.8502064,-88.1617717,205.4,24,Coyote - Cantigny 38056 (F),1.43184E+12,May 17 2015 05:06:09 AM
38055,41.8553042,-88.1716228,195.25,22,Coyote - Cantigny 38055 (M),1.43184E+12,May 17 2015 05:07:19 AM
38056,41.8502067,-88.1617958,205.36,24,Coyote - Cantigny 38056 (F),1.43184E+12,May 17 2015 05:12:07 AM
38055,41.8550636,-88.1689958,211.58,22,Coyote - Cantigny 38055 (M),1.43184E+12,May 17 2015 05:12:09 AM
38056,41.8515994,-88.1597075,205,35,Coyote - Cantigny 38056 (F),1.4319E+12,May 17 2015 09:00:29 PM
38055,41.8522689,-88.1642661,202.91,27,Coyote - Cantigny 38055 (M),1.4319E+12,May 17 2015 09:01:30 PM
38056,41.8515781,-88.1596914,188.16,30,Coyote - Cantigny 38056 (F),1.4319E+12,May 17 2015 11:00:17 PM
38055,41.8521619,-88.1641661,222.18,27,Coyote - Cantigny 38055 (M),1.4319E+12,May 17 2015 11:00:37 PM
38056,41.8515614,-88.1597444,203.75,30,Coyote - Cantigny 38056 (F),1.43191E+12,May 18 2015 01:00:29 AM
38055,41.8524861,-88.1644986,195.48,25,Coyote - Cantigny 38055 (M),1.43191E+12,May 18 2015 01:00:31 AM
38056,41.8518242,-88.1594756,216.1,25,Coyote - Cantigny 38056 (F),1.43192E+12,May 18 2015 04:00:29 AM
38056,41.8518314,-88.1594242,206.24,25,Coyote - Cantigny 38056 (F),1.43193E+12,May 18 2015 05:01:09 AM
38055,41.8526014,-88.1644994,209.64,22,Coyote - Cantigny 38055 (M),1.43193E+12,May 18 2015 05:02:24 AM
38055,41.8525544,-88.1644039,207.99,22,Coyote - Cantigny 38055 (M),1.43193E+12,May 18 2015 05:03:10 AM
38056,41.8517964,-88.1593878,201.56,25,Coyote - Cantigny 38056 (F),1.43193E+12,May 18 2015 05:05:25 AM
38056,41.8518322,-88.1594486,207.6,25,Coyote - Cantigny 38056 (F),1.43193E+12,May 18 2015 05:06:13 AM
38055,41.8526589,-88.1643822,226.51,22,Coyote - Cantigny 38055 (M),1.43193E+12,May 18 2015 05:06:14 AM
38056,41.8520053,-88.1594203,210.13,25,Coyote - Cantigny 38056 (F),1.43193E+12,May 18 2015 05:12:07 AM
38055,41.8521322,-88.1637039,203.4,22,Coyote - Cantigny 38055 (M),1.43193E+12,May 18 2015 05:12:15 AM
38056,41.8479325,-88.1632244,213.09,28,Coyote - Cantigny 38056 (F),1.43198E+12,May 18 2015 09:00:29 PM
38055,41.8536342,-88.1645772,205.99,26,Coyote - Cantigny 38055 (M),1.43198E+12,May 18 2015 09:01:43 PM
38056,41.8481836,-88.1633222,201.45,24,Coyote - Cantigny 38056 (F),1.43199E+12,May 18 2015 11:00:13 PM
38055,41.8536986,-88.1646511,217.5,25,Coyote - Cantigny 38055 (M),1.43199E+12,May 18 2015 11:00:28 PM
38055,41.8536325,-88.1645919,215.18,24,Coyote - Cantigny 38055 (M),1.432E+12,May 19 2015 01:01:00 AM
38056,41.8479428,-88.1628611,207.34,29,Coyote - Cantigny 38056 (F),1.432E+12,May 19 2015 01:01:24 AM
38055,41.8514869,-88.1634608,132.02,12,Coyote - Cantigny 38055 (M),1.43201E+12,May 19 2015 04:00:19 AM
38056,41.8519881,-88.1599744,207.78,16,Coyote - Cantigny 38056 (F),1.43201E+12,May 19 2015 04:00:33 AM
38056,41.8520289,-88.1601058,208.69,21,Coyote - Cantigny 38056 (F),1.43201E+12,May 19 2015 05:01:19 AM
38055,41.8528278,-88.1648764,202.59,18,Coyote - Cantigny 38055 (M),1.43201E+12,May 19 2015 05:01:48 AM
38055,41.8526036,-88.1647153,206.39,18,Coyote - Cantigny 38055 (M),1.43201E+12,May 19 2015 05:03:08 AM
38056,41.8519917,-88.1600919,198.32,21,Coyote - Cantigny 38056 (F),1.43201E+12,May 19 2015 05:03:14 AM
38056,41.8520578,-88.1601631,200.62,21,Coyote - Cantigny 38056 (F),1.43201E+12,May 19 2015 05:06:09 AM
38055,41.8526897,-88.1648697,207.69,19,Coyote - Cantigny 38055 (M),1.43201E+12,May 19 2015 05:06:12 AM
38056,41.8520733,-88.1602,204.7,21,Coyote - Cantigny 38056 (F),1.43201E+12,May 19 2015 05:12:11 AM
38055,41.8528894,-88.1648497,199.42,21,Coyote - Cantigny 38055 (M),1.43201E+12,May 19 2015 05:12:14 AM
38055,41.852005,-88.1641289,202.67,21,Coyote - Cantigny 38055 (M),1.43207E+12,May 19 2015 09:00:29 PM
38056,41.8520308,-88.1591894,205.45,23,Coyote - Cantigny 38056 (F),1.43207E+12,May 19 2015 09:00:29 PM
38055,41.8519444,-88.1638975,229.69,30,Coyote - Cantigny 38055 (M),1.43208E+12,May 19 2015 11:00:13 PM
38056,41.8519539,-88.1591508,231.5,25,Coyote - Cantigny 38056 (F),1.43208E+12,May 19 2015 11:00:16 PM
38056,41.8521564,-88.1604875,207.9,16,Coyote - Cantigny 38056 (F),1.43208E+12,May 20 2015 01:00:29 AM
38055,41.8520769,-88.1640564,208.74,25,Coyote - Cantigny 38055 (M),1.43208E+12,May 20 2015 01:00:47 AM
38055,41.8361094,-88.1582686,191.11,9,Coyote - Cantigny 38055 (M),1.43209E+12,May 20 2015 04:00:47 AM
38056,41.852035,-88.1624694,216.94,18,Coyote - Cantigny 38056 (F),1.43209E+12,May 20 2015 04:01:00 AM
38055,41.8498331,-88.1475047,200.72,9,Coyote - Cantigny 38055 (M),1.4321E+12,May 20 2015 05:01:07 AM
38056,41.8520358,-88.1626286,225.85,21,Coyote - Cantigny 38056 (F),1.4321E+12,May 20 2015 05:01:13 AM
38055,41.8506336,-88.1470589,197.36,9,Coyote - Cantigny 38055 (M),1.4321E+12,May 20 2015 05:03:14 AM
38056,41.8519,-88.1624369,215.71,21,Coyote - Cantigny 38056 (F),1.4321E+12,May 20 2015 05:03:14 AM
38056,41.8517019,-88.1622275,222.28,21,Coyote - Cantigny 38056 (F),1.4321E+12,May 20 2015 05:06:10 AM
38055,41.8528578,-88.1501133,191.36,10,Coyote - Cantigny 38055 (M),1.4321E+12,May 20 2015 05:08:18 AM
38056,41.8520306,-88.1624269,235.47,22,Coyote - Cantigny 38056 (F),1.4321E+12,May 20 2015 05:12:00 AM
38055,41.8510581,-88.1525281,195.7,9,Coyote - Cantigny 38055 (M),1.4321E+12,May 20 2015 05:12:09 AM
38055,41.8520958,-88.1641714,191.4,26,Coyote - Cantigny 38055 (M),1.43216E+12,May 20 2015 09:00:29 PM
38056,41.8561764,-88.1624656,196.51,22,Coyote - Cantigny 38056 (F),1.43216E+12,May 20 2015 09:00:29 PM
38056,41.8560911,-88.1620958,243.07,25,Coyote - Cantigny 38056 (F),1.43216E+12,May 20 2015 11:00:16 PM
38055,41.8520339,-88.1641181,209.59,27,Coyote - Cantigny 38055 (M),1.43216E+12,May 20 2015 11:00:42 PM
38055,41.8521036,-88.16408,209.95,25,Coyote - Cantigny 38055 (M),1.43217E+12,May 21 2015 01:00:29 AM
38056,41.856745,-88.1624739,197.97,24,Coyote - Cantigny 38056 (F),1.43217E+12,May 21 2015 01:01:24 AM
38055,41.8521969,-88.1650167,250.82,19,Coyote - Cantigny 38055 (M),1.43218E+12,May 21 2015 04:00:29 AM
38056,41.8603794,-88.1585433,216.42,20,Coyote - Cantigny 38056 (F),1.43218E+12,May 21 2015 04:00:43 AM
38056,41.8602347,-88.1583733,238.88,16,Coyote - Cantigny 38056 (F),1.43218E+12,May 21 2015 05:01:21 AM
38055,41.8522211,-88.1648694,201.36,20,Coyote - Cantigny 38055 (M),1.43218E+12,May 21 2015 05:01:31 AM
38055,41.8522158,-88.1649253,227.5,20,Coyote - Cantigny 38055 (M),1.43218E+12,May 21 2015 05:03:24 AM
38056,41.8606411,-88.1587031,210.98,16,Coyote - Cantigny 38056 (F),1.43218E+12,May 21 2015 05:05:44 AM
38055,41.8522656,-88.1650231,195.84,19,Coyote - Cantigny 38055 (M),1.43218E+12,May 21 2015 05:06:14 AM
38056,41.8610653,-88.1588517,225.81,16,Coyote - Cantigny 38056 (F),1.43218E+12,May 21 2015 05:06:16 AM
38055,41.8523439,-88.1650567,237.09,20,Coyote - Cantigny 38055 (M),1.43219E+12,May 21 2015 05:12:09 AM
38056,41.8603797,-88.1585278,204.41,16,Coyote - Cantigny 38056 (F),1.43219E+12,May 21 2015 05:12:30 AM
38055,41.8383956,-88.1577447,189.34,25,Coyote - Cantigny 38055 (M),1.43224E+12,May 21 2015 09:00:29 PM
38056,41.8607031,-88.1602147,194.28,26,Coyote - Cantigny 38056 (F),1.43224E+12,May 21 2015 09:00:48 PM
38056,41.8609758,-88.1605197,193.45,28,Coyote - Cantigny 38056 (F),1.43225E+12,May 21 2015 11:00:19 PM
38055,41.8385544,-88.1578197,172.63,29,Coyote - Cantigny 38055 (M),1.43225E+12,May 21 2015 11:00:48 PM
38056,41.860825,-88.1600519,227.14,29,Coyote - Cantigny 38056 (F),1.43226E+12,May 22 2015 01:01:01 AM
38055,41.8384308,-88.157785,207.47,28,Coyote - Cantigny 38055 (M),1.43226E+12,May 22 2015 01:01:17 AM
38055,41.8523489,-88.1651283,193.01,20,Coyote - Cantigny 38055 (M),1.43227E+12,May 22 2015 04:00:29 AM
38056,41.8589694,-88.1631572,197.93,22,Coyote - Cantigny 38056 (F),1.43227E+12,May 22 2015 04:00:29 AM
38056,41.8605639,-88.1655361,207.06,16,Coyote - Cantigny 38056 (F),1.43227E+12,May 22 2015 05:01:07 AM
38055,41.8521936,-88.1653656,206.26,18,Coyote - Cantigny 38055 (M),1.43227E+12,May 22 2015 05:01:10 AM
38055,41.8522669,-88.1652533,242.15,18,Coyote - Cantigny 38055 (M),1.43227E+12,May 22 2015 05:03:09 AM
38056,41.8605447,-88.1655128,207.93,16,Coyote - Cantigny 38056 (F),1.43227E+12,May 22 2015 05:03:15 AM
38056,41.8605639,-88.1655003,208.54,16,Coyote - Cantigny 38056 (F),1.43227E+12,May 22 2015 05:06:10 AM
38055,41.8520872,-88.1653219,211.96,18,Coyote - Cantigny 38055 (M),1.43227E+12,May 22 2015 05:06:15 AM
38056,41.8592953,-88.1661247,200.97,16,Coyote - Cantigny 38056 (F),1.43227E+12,May 22 2015 05:12:10 AM
38055,41.8519633,-88.1652403,209.33,18,Coyote - Cantigny 38055 (M),1.43227E+12,May 22 2015 05:12:41 AM
38055,41.8484267,-88.1637847,199.79,28,Coyote - Cantigny 38055 (M),1.43233E+12,May 22 2015 09:00:29 PM
38056,41.8520903,-88.1653714,216.1,27,Coyote - Cantigny 38056 (F),1.43233E+12,May 22 2015 09:00:32 PM
38056,41.8521542,-88.1652264,221.64,23,Coyote - Cantigny 38056 (F),1.43234E+12,May 22 2015 11:00:04 PM
38055,41.8484661,-88.1637842,202.38,28,Coyote - Cantigny 38055 (M),1.43234E+12,May 22 2015 11:00:12 PM
38055,41.8487758,-88.1632692,201.45,22,Coyote - Cantigny 38055 (M),1.43234E+12,May 23 2015 01:00:29 AM
38056,41.8517172,-88.1665564,194.9,20,Coyote - Cantigny 38056 (F),1.43234E+12,May 23 2015 01:00:29 AM
38055,41.8562911,-88.1753572,206.29,14,Coyote - Cantigny 38055 (M),1.43235E+12,May 23 2015 04:00:31 AM
38056,41.851965,-88.1655789,213.64,18,Coyote - Cantigny 38056 (F),1.43235E+12,May 23 2015 04:00:54 AM
38056,41.8517386,-88.1657422,214.72,20,Coyote - Cantigny 38056 (F),1.43236E+12,May 23 2015 05:01:12 AM
38055,41.8473236,-88.1706103,198.68,13,Coyote - Cantigny 38055 (M),1.43236E+12,May 23 2015 05:01:55 AM
38055,41.8473158,-88.1705858,196.65,13,Coyote - Cantigny 38055 (M),1.43236E+12,May 23 2015 05:03:15 AM
38056,41.8516272,-88.1658153,206.06,20,Coyote - Cantigny 38056 (F),1.43236E+12,May 23 2015 05:03:26 AM
38056,41.8518292,-88.1658919,199.01,20,Coyote - Cantigny 38056 (F),1.43236E+12,May 23 2015 05:06:16 AM
38055,41.8473111,-88.1705036,203.21,14,Coyote - Cantigny 38055 (M),1.43236E+12,May 23 2015 05:07:33 AM
38056,41.8515669,-88.1656961,204.53,20,Coyote - Cantigny 38056 (F),1.43236E+12,May 23 2015 05:12:11 AM
38055,41.8472453,-88.1695747,191.9,14,Coyote - Cantigny 38055 (M),1.43236E+12,May 23 2015 05:12:13 AM
38057,41.8281294,-88.1245808,184.27,34,Coyote - Danada 38057,1.43241E+12,May 23 2015 09:00:29 PM
38055,41.852785,-88.1647594,210.86,30,Coyote - Cantigny 38055 (M),1.43241E+12,May 23 2015 09:00:29 PM
38057,41.8278547,-88.1227064,171.87,31,Coyote - Danada 38057,1.43242E+12,May 23 2015 11:00:05 PM
38055,41.8514461,-88.1644947,246.49,32,Coyote - Cantigny 38055 (M),1.43242E+12,May 23 2015 11:00:25 PM
38056,41.8517603,-88.1649053,197.04,28,Coyote - Cantigny 38056 (F),1.43242E+12,May 23 2015 11:01:02 PM
38057,41.8283017,-88.1209897,194.38,25,Coyote - Danada 38057,1.43243E+12,May 24 2015 01:00:53 AM
38056,41.8518111,-88.1658572,202.72,26,Coyote - Cantigny 38056 (F),1.43243E+12,May 24 2015 01:01:00 AM
38055,41.8567897,-88.176425,198.4,24,Coyote - Cantigny 38055 (M),1.43243E+12,May 24 2015 01:02:41 AM
38055,41.8526919,-88.1585058,198.44,16,Coyote - Cantigny 38055 (M),1.43244E+12,May 24 2015 04:00:29 AM
38057,41.8377117,-88.1257753,200.72,19,Coyote - Danada 38057,1.43244E+12,May 24 2015 04:00:30 AM
38056,41.8520772,-88.1652089,195.23,25,Coyote - Cantigny 38056 (F),1.43244E+12,May 24 2015 04:00:30 AM
38057,41.8592897,-88.1196156,204.65,18,Coyote - Danada 38057,1.43244E+12,May 24 2015 05:01:14 AM
38056,41.8613822,-88.1656453,207.51,20,Coyote - Cantigny 38056 (F),1.43244E+12,May 24 2015 05:01:29 AM
38055,41.8617544,-88.1659739,213.83,19,Coyote - Cantigny 38055 (M),1.43244E+12,May 24 2015 05:01:30 AM
38055,41.8622444,-88.1661503,205.54,19,Coyote - Cantigny 38055 (M),1.43244E+12,May 24 2015 05:03:14 AM
38057,41.8580011,-88.1195217,207.06,18,Coyote - Danada 38057,1.43244E+12,May 24 2015 05:03:21 AM
38056,41.8613667,-88.1655406,218.43,20,Coyote - Cantigny 38056 (F),1.43244E+12,May 24 2015 05:05:56 AM
38055,41.8626936,-88.1655233,206.8,18,Coyote - Cantigny 38055 (M),1.43244E+12,May 24 2015 05:06:09 AM
38057,41.8575053,-88.117785,193.62,19,Coyote - Danada 38057,1.43244E+12,May 24 2015 05:08:27 AM
38055,41.862625,-88.1655022,210.81,19,Coyote - Cantigny 38055 (M),1.43244E+12,May 24 2015 05:12:09 AM
38057,41.8571639,-88.1158578,202.98,19,Coyote - Danada 38057,1.43244E+12,May 24 2015 05:12:11 AM
38056,41.861425,-88.1656347,217.19,21,Coyote - Cantigny 38056 (F),1.43244E+12,May 24 2015 05:12:13 AM
38055,41.8475689,-88.1703747,199.74,29,Coyote - Cantigny 38055 (M),1.4325E+12,May 24 2015 09:00:29 PM
38057,41.8283058,-88.1210003,189.38,25,Coyote - Danada 38057,1.4325E+12,May 24 2015 09:01:00 PM
38056,41.8534392,-88.1648231,203.18,22,Coyote - Cantigny 38056 (F),1.4325E+12,May 24 2015 09:01:24 PM
38055,41.8475706,-88.1702206,208.52,29,Coyote - Cantigny 38055 (M),1.43251E+12,May 24 2015 11:00:16 PM
38057,41.8282117,-88.1207533,201.06,25,Coyote - Danada 38057,1.43251E+12,May 24 2015 11:00:30 PM
38056,41.85344,-88.1647875,206.08,25,Coyote - Cantigny 38056 (F),1.43251E+12,May 24 2015 11:00:33 PM
38055,41.8475769,-88.1703756,203.23,29,Coyote - Cantigny 38055 (M),1.43252E+12,May 25 2015 01:00:29 AM
38057,41.8283436,-88.1209547,202.69,25,Coyote - Danada 38057,1.43252E+12,May 25 2015 01:01:23 AM
38056,41.8535481,-88.1649467,225.66,25,Coyote - Cantigny 38056 (F),1.43252E+12,May 25 2015 01:02:01 AM
38055,41.8451614,-88.1561739,177.57,20,Coyote - Cantigny 38055 (M),1.43253E+12,May 25 2015 04:00:30 AM
38057,41.8548636,-88.129815,194.44,20,Coyote - Danada 38057,1.43253E+12,May 25 2015 04:00:50 AM
38055,41.8524958,-88.1636219,206.28,21,Coyote - Cantigny 38055 (M),1.43253E+12,May 25 2015 05:01:15 AM
